"Date";"Time";"CO.GT.";"PT08.S1.CO.";"NMHC.GT.";"C6H6.GT.";"PT08.S2.NMHC.";"NOx.GT.";"PT08.S3.NOx.";"NO2.GT.";"PT08.S4.NO2.";"PT08.S5.O3.";"T";"RH";"AH_bin"
"40";3;10;4.53847552705004;1545;398.569149346533;22.1;1353;274.879250489681;767;149.125619061061;2058;1588;9.2;56.2;0
"41";3;11;3.1;1350;208;14;1118;187;912;122;1712;1237;13.2;41.7;0
"42";3;12;2.7;1263;166;11.6;1037;216;969;143;1598;1167;14.3;38.4;0
"43";3;13;2.1;1206;114;10.2;986;143;1035;113;1537;959;15;36.5;0
"44";3;14;2.5;1252;140;11;1016;160;1008;116;1593;983;16.1;34.5;0
"45";3;15;2.7;1287;169;12.8;1078;163;949;123;1660;1061;16.3;35.7;0
"46";3;16;2.9;1353;185;14.2;1122;190;922;126;1740;1139;15.8;37;0
"47";3;17;2.8;1309;165;12.7;1073;178;954;120;1657;1112;15.9;37.2;0
"48";3;18;2.4;1274;133;11.7;1041;150;1006;119;1610;994;16.9;34.3;0
"49";3;19;3.9;1510;233;19.3;1277;206;812;149;1910;1410;15.1;39.6;0
"50";3;20;3.7;1525;242;18.2;1246;202;821;145;1847;1448;14.4;43.4;0
"51";3;21;6.6;1843;488;32.6;1610;340;624;170;2390;1887;12.9;50.5;0
"52";3;22;4.4;1598;333;20.1;1299;274;752;149;1941;1627;12.1;53.3;1
"53";3;23;3.5;1484;215;14.3;1127;253;839;139;1723;1491;11;59.1;1
"54";3;24;5.4;1677;367;21.8;1346;300;741;134;2062;1657;9.7;64.6;1
"55";4;1;2.7;1280;122;9.6;964;193;963;113;1544;1285;9.5;64.1;1
"56";4;2;1.9;1196;67;7.4;873;139;1071;97;1463;1144;9.1;63.9;0
"57";4;3;1.6;1184;43;5.4;782;83;1176;82;1365;1043;8.8;63.9;0
"58";4;4;1.7;1172;46;5.4;783;108.544026088434;1179;83.7545462797927;1380;996;7.8;67.5;0
"59";4;5;1.5479291215219;1147;56;6.2;821;109;1132;83;1412;992;7;71.1;0
"60";4;6;1;978;30;2.6;625;62;1420;65;1274;819;8.3;63.6;0
"61";4;7;1.2;1100;27;2.9;646;53;1406;60;1268;835;7.2;67.5;0
"62";4;8;1.5;1112;47;5.1;770;139;1228;77;1409;940;6.3;71.9;0
"63";4;9;2.7;1336;132;11.8;1043;256;935;96;1678;1192;6.5;71.6;0
"64";4;10;3.7;1408;239;15.1;1153;295;830;119;1777;1411;9.6;59.7;0
"65";4;11;3.2;1447;160;12.9;1081;250;869;126;1667;1465;12.4;51.2;0
"66";4;12;4.1;1542;283;16.1;1184;296;808;158;1780;1583;15.6;42.2;0
"67";4;13;3.6;1451;210;14;1117;239;875;161;1679;1387;18.4;33.8;0
"68";4;14;2.8;1328;154;12.3;1059;153;987;124;1600;1101;19.4;31.3;0
"69";4;15;2;1207;112;8.6;924;118;1088;102;1488;850;18;34.8;0
"70";4;16;2;1240;108;9.2;947;119;1049;116;1532;947;18.4;33.6;0
"71";4;17;2.5;1306;111;10.2;987;138;1004;124;1554;1078;17.6;35.1;0
"72";4;18;2.3;1326;97;10.6;1000;148;976;125;1602;1084;16.7;37.8;0
"73";4;19;3.2;1473;191;15.5;1163;227;831;148;1779;1395;16.1;41;0
"74";4;20;4.2;1609;258;19.6;1286;277;758;165;1922;1612;15.8;42.4;1
"75";4;21;4.2;1611;284;19.2;1274;279;754;161;1915;1697;15.7;44.1;1
"76";4;22;4.2;1621;269;18.3;1247;283;762;159;1860;1886;15.3;46.8;1
"77";4;23;3.1;1444;180;13.1;1089;214;844;143;1748;1624;14.6;48.6;1
"78";4;24;2.6;1418;116;10.9;1010;172;892;130;1603;1536;14.7;49.3;1
"79";5;1;2.9;1534;93;11;1013;190;889;129;1611;1535;13.9;53.6;1
"80";5;2;2.8;1484;131;11.9;1045;174;880;119;1624;1530;14.6;51.5;1
"81";5;3;2.5;1367;92;8.6;925;128;953;104;1543;1337;12.5;58.9;1
"82";5;4;2.4;1344;132;9.7;968;149.564163824792;921;104.971473410555;1620;1278;11.6;63.4;1
"83";5;5;1.35984444192894;1130;56;5.2;773;70;1130;82;1452;1051;12.1;61.1;1
"84";5;6;1.2;1062;32;3.7;691;53;1272;70;1377;929;11.5;63.1;1
"85";5;7;1;1076;29;2.5;618;44;1395;63;1333;872;11.6;62.2;1
"86";5;8;0.9;1028;27;2.4;615;74;1384;67;1340;853;10.4;67.6;1
"87";5;9;1.4;1155;36;4.2;722;101;1225;84;1414;959;11.6;62.7;1
"88";5;10;1.6;1235;57;6.4;828;118;1055;83;1527;1093;12.4;60;1
"89";5;11;2.2;1332;129;8.6;923;144;952;98;1614;1225;14.5;53.1;1
"90";5;12;2.8;1445;148;10.9;1009;176;878;114;1696;1355;16.9;46.1;1
"91";5;13;2.8;1416;145;10.7;1002;161;907;119;1677;1262;19.3;38.3;1
"92";5;14;2;1281;93;7.5;880;113;1084;104;1525;980;21.2;31.4;1
"93";5;15;1.8;1207;84;7.5;879;103;1104;102;1490;872;21.4;30.2;1
"94";5;16;1.9;1258;99;8.2;906;112;1081;107;1511;900;21.9;29;1
"95";5;17;3;1458;150;11.9;1045;170;974;129;1646;1099;22.2;28.4;1
"96";5;18;2.9;1438;156;12;1051;180;943;128;1668;1206;21.3;30.8;1
"97";5;19;2.5;1478;122;12.2;1055;160;929;121;1671;1262;19.7;36.7;1
"98";5;20;4.6;1808;262;20.6;1312;261;753;157;1993;1698;18.4;41.7;1
"99";5;21;5.9;1898;341;23.1;1381;325;681;173;2103;1905;17.6;46.1;1
"100";5;22;3.4;1560;214;14.7;1140;217;784;146;1818;1648;16.7;49.6;1
"101";5;23;2.1;1324;100;9;940;146;924;121;1587;1423;16.3;51;1
"102";5;24;2.2;1349;79;8.8;933;152;933;119;1617;1349;14.7;55.9;1
"103";6;1;1.8;1239;66;7.4;872;104;985;99;1547;1250;14.8;54.7;1
"104";6;2;1.8;1239;73;6.9;853;106;1010;93;1543;1174;14;57;1
"105";6;3;1.8;1224;66;7;855;108;998;88;1566;1149;13.4;61.3;1
"106";6;4;1.1;1078;44;4.4;734;73.383908028699;1128;78.1349277424556;1487;1021;12.6;63.5;1
"107";6;5;1.13414282641738;1078;44;4;711;66;1150;71;1468;1013;12.3;65.4;1
"108";6;6;1;1075;39;3.9;703;88;1156;74;1464;1010;11.9;67.4;1
"109";6;7;1.4;1157;51;6.4;830;138;1030;80;1584;1083;11.4;70.5;1
"110";6;8;2.2;1314;107;9.7;966;228;897;89;1710;1235;11.3;70.2;1
"111";6;9;5.5;1797;336;25.9;1451;360;652;114;2323;1680;12.4;63.9;1
"112";6;10;8.1;1961;618;36.7;1701;478;537;149;2665;2184;14.8;54.3;1
"113";6;11;5.8;1771;438;26.6;1470;394;622;157;2262;1973;17.4;45.6;1
"114";6;12;4.2;1564;334;20.1;1300;319;710;155;2029;1798;19.8;38.5;1
"115";6;13;3.1;1430;221;14.1;1120;201;831;134;1783;1522;22;34.1;1
"116";6;14;2.9;1417;207;14.9;1146;171;830;119;1831;1404;23.3;32.2;1
"117";6;15;2.9;1400;191;15.4;1162;159;838;111;1829;1263;23.9;30;1
"118";6;16;2.5;1317;185;12.1;1053;153;926;104;1707;1137;24.4;28.9;1
"119";6;17;2.3;1318;141;11.5;1033;143;950;99;1675;1068;24.4;29.4;1
"120";6;18;2.8;1445;214;14.8;1141;156;857;110;1824;1252;23.8;31.3;1
"121";6;19;6.1;1917;471;32.1;1601;314;631;162;2447;1843;22.5;35.4;1
"122";6;20;8;2040;685;39.2;1754;404;542;187;2679;2122;20.4;42.5;1
"123";6;21;6.5;1895;538;31;1573;320;565;165;2443;1992;18.3;52.6;1
"124";6;22;4.2;1595;319;19.9;1294;256;678;145;2058;1707;16.7;57.4;1
"125";6;23;3.2;1439;224;15.3;1159;193;764;125;1856;1494;15.7;60.2;1
"126";6;24;1.4;1142;67;6.9;852;89;1008;101;1547;1164;15.3;61.4;1
"127";7;1;2.1;1304;155;11.1;1019;127;852;103;1731;1272;14.1;65.7;1
"128";7;2;1.2;1074;49;5.4;784;79;1098;88;1483;1040;14.8;60.6;1
"129";7;3;0.8;968;29;2.8;640;43;1320;61;1386;867;14.8;59.2;1
"130";7;4;0.7;929;25;2.3;608;49.9438293222089;1376;63.6844800750173;1364;826;13.6;62.1;1
"131";7;5;0.870824274987232;941;25;2.6;626;59;1316;59;1373;840;12.3;66.2;1
"132";7;6;0.6;937;17;2;585;38;1412;52;1348;793;12.8;63.2;1
"133";7;7;0.9;1017;27;3.5;681;82;1246;64;1418;870;11.2;68.5;1
"134";7;8;1.3;1171;50;5.1;770;99;1162;70;1467;930;11;66.5;1
"135";7;9;3.4;1541;218;16.2;1185;263;770;97;1889;1407;11.7;63.7;1
"136";7;10;3.7;1539;285;19.7;1287;229;698;95;2055;1507;13.6;56.3;1
"137";7;11;5.3;1735;437;25.1;1431;396;628;150;2211;1843;17.8;42.9;1
"138";7;12;4.1;1571;327;20;1297;314;730;162;1973;1729;21.4;33.3;1
"139";7;13;3.3;1452;283;18.3;1250;217;776;154;1868;1583;24.4;27.4;1
"140";7;14;4;1579;366;22.3;1359;252;724;161;1998;1671;25.3;26.1;1
"141";7;15;3.8;1466;318;20.4;1309;263;773;161;1897;1491;25.8;23.2;1
"142";7;16;2.8;1280;228;14.6;1136;180;893;128;1675;1240;27;20.2;0
"143";7;17;2.9;1407;201;16.6;1197;184;905;129;1759;1313;28.2;18.6;0
"144";7;18;2.9;1389;199;15.8;1173;190;898;133;1739;1363;28;19.1;0
"145";7;19;3.4;1447;237;17.8;1235;184;859;139;1778;1296;23.9;25.7;1
"146";7;20;3.9;1551;261;19.1;1271;181;800;137;1875;1432;21.3;34.8;1
"147";7;21;3.2;1474;230;15.8;1173;166;854;143;1776;1432;20.4;36.7;1
"148";7;22;5.1;1800;349;24.9;1426;317;700;177;2106;2034;19;41.3;1
"149";7;23;2.6;1379;183;13.5;1101;184;818;138;1710;1602;17.9;45.9;1
"150";7;24;1.7;1201;88;9.1;943;130;935;117;1560;1362;16.7;48.9;1
"151";8;1;1.7;1205;85;8.6;925;132;922;107;1547;1314;15.5;52.9;1
"152";8;2;1.2;1072;47;5.4;784;95;1066;90;1442;1114;15.5;51.9;1
"153";8;3;0.9;998;34;4.1;714;70;1169;79;1383;992;14.1;55.6;1
"154";8;4;0.7;933;26;2.6;625;49.9438293222089;1292;65.6341436491955;1332;884;13.1;57.9;1
"155";8;5;0.739164999272157;883;17;1.9;577;54;1396;60;1303;808;12.7;57.9;1
"156";8;6;0.5;869;11;1.6;554;28;1460;40;1268;667;11.8;58;1
"157";8;7;0.5;891;18;1.9;576;46;1417;53;1289;733;11.9;57.4;1
"158";8;8;1.6;1173;84;7.5;878;160;1038;84;1556;1052;9.9;65.2;1
"159";8;9;4.1;1587;260;21.4;1334;320;702;108;1999;1534;11.1;60.2;1
"160";8;10;6.6;1852;534;36.4;1696;377;553;127;2535;1931;14.1;50;1
"161";8;11;4.3;1522;368;21.3;1331;280;703;134;2026;1734;17.7;40.1;1
"162";8;12;2.9;1438;200;15.4;1161;221;819;135;1782;1595;21.1;33.4;1
"163";8;13;2.5;1393;145;12.5;1067;210;905;142;1654;1490;24.3;28.3;1
"164";8;14;2.8;1452;188;15.1;1152;204;861;153;1747;1508;25.6;25.6;1
"165";8;15;2.6;1389;152;13.7;1108;161;887;123;1712;1334;25.9;25.9;1
"166";8;16;2;1207;103;10.4;994;135;1013;104;1520;1045;26.8;18.7;0
"167";8;17;2.9;1365;193;15.2;1154;186;940;129;1679;1221;29.3;15.8;0
"168";8;18;2.5;1247;134;12.3;1060;147;1032;114;1525;1069;28.5;14.9;0
"169";8;19;5;1557;386;27;1478;299;793;158;1981;1569;25.9;16;0
"170";8;20;7.6;1973;577;38.4;1737;411;617;194;2414;2306;23.1;26.5;0
"171";8;21;6.7;1975;523;35.1;1667;347;597;182;2416;2359;20.5;38.2;1
"172";8;22;5.7;1795;472;27.2;1485;336;653;180;2174;2050;19.1;42.6;1
"173";8;23;2.8;1444;206;15;1150;202;770;136;1727;1727;17.2;44.1;1
"174";8;24;2.6;1488;216;15.7;1171;178;731;127;1778;1705;16;50.9;1
"175";9;1;2.3;1371;159;13;1083;154;796;116;1669;1551;14.8;53.9;1
"176";9;2;1.4;1161;70;8.1;904;92;947;107;1502;1240;14.3;55.4;1
"177";9;3;1;1064;44;5.5;787;61;1057;88;1407;1115;14.8;52.1;1
"178";9;4;0.7;970;42;3.6;687;49.9438293222089;1196;72.7446813903159;1351;969;13.9;53.9;1
"179";9;5;0.927249678865121;954;28;2.9;645;60;1260;78;1334;925;11.6;61.9;1
"180";9;6;0.6;931;20;2.5;623;37;1293;57;1307;828;12;58.9;1
"181";9;7;0.7;938;26;3;650;68;1251;71;1333;893;10.9;62.1;1
"182";9;8;1.5;1166;78;7.7;885;139;1005;85;1551;1075;10.6;63.3;1
"183";9;9;4.7;1643;319;23.3;1384;339;667;124;2094;1610;11.5;60;1
"184";9;10;6.6;1934;506;35.8;1682;421;541;151;2468;2051;14.3;50.6;1
"185";9;11;4.5;1617;383.70756575388;21.3;1333;349;686;150;2010;1819;17.8;40.5;1
"186";9;12;2.8;1473;253.668709318164;14.3;1127;224;831;152;1752;1568;20.8;34.4;1
"187";9;13;2.2;1379;220.230146234694;12.5;1068;171;899;139;1663;1374;23.8;28.2;1
"188";9;14;2.2;1385;214.657052387449;12.2;1056;149;891;133;1648;1268;24.2;28.7;1
"189";9;15;2.3;1379;231.376333929184;13.1;1087;137;901;126;1660;1144;25.2;24.9;1
"190";9;16;2.2;1322;255.526407267246;14.4;1129;149;934;128;1639;1109;27;17.8;0
"191";9;17;2.8;1496;300.111158045206;16.8;1205;172;822;169;1767;1347;27.1;23.1;1
"192";9;18;2.7;1409;257.384105216327;14.5;1131;166;873;149;1689;1206;25.8;23.9;1
"193";9;19;3.7;1513;387.422961652043;21.5;1338;214;764;156;1957;1397;23;26.8;0
"194";9;20;5.1;1667;478.450161157044;26.4;1464;280;683;168;2118;1588;20.7;31.1;1
"195";9;21;5.1;1667;471.019369360718;26;1453;276;684;176;2051;1569;18.6;36.2;1
"196";9;22;3.2;1430;249.953313420001;14.1;1121;178;814;135;1732;1322;16;48.4;1
"197";9;23;2.1;1333;179.360791354898;10.3;989;129;885;121;1621;1194;14.5;57.8;1
"198";9;24;1.7;1262;142.206832373265;8.3;911;95;948;99;1545;1062;13.1;64.2;1
"199";10;1;2;1287;153.353020067755;8.9;936;126;918;106;1606;1040;12;69.7;1
"200";10;2;1.6;1134;110.625967238877;6.6;840;103;1021;96;1501;917;11.9;71.1;1
"201";10;3;0.9;999;54.8950287664271;3.6;688;48;1229;63;1380;594;12.5;69.3;1
"202";10;4;0.7;961;34.4603513265289;2.5;622;49.9438293222089;1382;65.2900853713994;1301;430;12.5;67.5;1
"203";10;5;0.720356531312861;934;21.4564656829573;1.8;569;20;1440;32;1280;397;12.3;67.7;1
"204";10;6;0.5;913;12.1679759375491;1.3;525;18;1620;28;1260;370;12.5;66.8;1
"205";10;7;0.7;969;30.7449554283656;2.3;607;56;1373;61;1324;438;12.3;66.3;1
"206";10;8;1.5;1182;112.483665187958;6.7;845;115;1054;99;1539;704;12.4;64.9;1
"207";10;9;4.8;1740;411.573034990105;22.8;1372;320;671;157;2144;1476;13;61.6;1
"208";10;10;6.2;1819;569.477360662046;31.3;1582;357;575;166;2456;1716;13.6;58.8;1
"209";10;11;4;1427;344.695908823165;19.2;1275;253;701;149;1980;1398;13.9;57.1;1
"210";10;12;3.3;1390;292.680366248879;16.4;1191;218;759;135;1879;1268;14.5;54.4;1
"211";10;13;2.8;1283;248.095615470919;14;1117;192;813;127;1751;1188;15.5;50.1;1
"212";10;14;3;1304;272.245688808981;15.3;1157;176;793;122;1801;1171;16.1;47.6;1
"213";10;15;3.3;1364;298.253460096124;16.7;1202;198;771;135;1875;1250;16.3;47.1;1
"214";10;16;3.5;1410;340.980512925002;19;1268;212;724;139;1957;1344;16.4;47.5;1
"215";10;17;4;1476;348.411304721329;19.4;1280;249;708;147;1955;1378;16.1;50.2;1
"216";10;18;4.6;1522;376.276773957553;20.9;1320;270;690;158;2005;1435;16;50.7;1
"217";10;19;4.1;1442;363.272888313982;20.2;1301;231;704;146;1952;1372;15.8;50.3;1
"218";10;20;4.5;1469;391.138357550207;21.7;1344;251;677;144;1997;1471;15.5;50.6;1
"219";10;21;3.9;1467;355.842096517655;19.8;1292;210;698;138;1942;1439;15.4;51.4;1
"220";10;22;4;1421;298.253460096124;16.7;1202;249;748;143;1854;1429;15.2;53.1;1
"221";10;23;2.2;1175;157.068415965918;9.1;945;143;904;116;1604;1081;14.7;57.6;1
"222";10;24;2.1;1215;142.206832373265;8.3;912;127;948;109;1547;993;14.2;58.3;1
"223";11;1;1.7;1127;95.7643836462235;5.8;802;104;1064;92;1447;837;13.8;57.9;1
"224";11;2;1.6;1090;84.6181959517336;5.2;773;86;1105;83;1429;761;13.9;55.9;1
"225";11;3;1.3;1017;64.1835185118354;4.1;718;74;1182;81;1382;650;13.9;55.6;1
"226";11;4;1.3;997;51.1796328682638;3.4;677;85.103947381944;1252;71.5978204643287;1359;591;13.8;55.1;1
"227";11;5;0.927249678865121;945;41.8911431228555;2.9;646;44;1308;55;1332;505;13.8;54.6;1
"228";11;6;0.8;956;45.6065390210188;3.1;661;42;1260;53;1351;518;13.6;55.1;1
"229";11;7;0.8;966;34.4603513265289;2.5;622;63;1317;67;1342;571;13.6;59;1
"230";11;8;1.1;1064;67.8989144099987;4.3;728;115;1161;91;1461;842;13.5;58.4;1
"231";11;9;2.1;1300;153.353020067755;8.9;935;170;902;113;1623;1145;13.8;58;1
"232";11;10;2.4;1348;183.076187253061;10.5;998;147;834;102;1689;1218;14.6;53.1;1
"233";11;11;2.6;1425;220.230146234694;12.5;1068;166;776;107;1764;1341;15;52.3;1
"234";11;12;2.8;1474;216.514750336531;12.3;1061;195;768;113;1768;1406;15.4;52.1;1
"235";11;13;2.6;1490;205.368562642041;11.7;1039;182;782;108;1757;1422;16.3;50;1
"236";11;14;2.6;1495;205.368562642041;11.7;1040;168;809;105;1735;1373;17.1;47.9;1
"237";11;15;2.1;1376;160.783811864081;9.3;953;125;900;93;1636;1153;19;42.9;1
"238";11;16;1.7;1305;129.202946729693;7.6;884;95;980;87;1573;927;19.5;42.3;1
"239";11;17;1.6;1283;112.483665187958;6.7;844;79;1036;76;1539;766;19.5;42.3;1
"240";11;18;2.1;1392;168.214603660408;9.7;967;119;930;94;1649;941;19.1;43.8;1
"241";11;19;2.3;1452;218.372448285613;12.4;1063;142;856;110;1774;1146;18.5;46.3;1
"242";11;20;3.5;1633;296.395762147042;16.6;1199;215;734;136;1919;1417;17.4;51.6;1
"243";11;21;3.9;1625;292.680366248879;16.4;1191;229;733;139;1885;1442;17.1;51.3;1
"244";11;22;3.3;1535;242.522521623674;13.7;1108;206;785;125;1820;1323;16.4;53.8;1
"245";11;23;2.3;1323;171.929999558571;9.9;973;147;864;111;1712;1125;16.2;55.4;1
"246";11;24;2.1;1309;153.353020067755;8.9;937;122;905;97;1672;1036;15.9;57.7;1
"247";12;1;2.8;1456;184.933885202143;10.6;999;175;835;107;1714;1202;15.7;58.6;1
"248";12;2;2.1;1300;125.48755083153;7.4;872;133;941;90;1577;1054;15.1;60.9;1
"249";12;3;1.6;1203;103.19517544255;6.2;823;89;1004;84;1526;903;15.6;56.6;1
"250";12;4;1.6;1195;108.768269289795;6.5;836;102.684006411812;987;89.8329091875246;1554;885;15.2;57.9;1
"251";12;5;1.47269524968472;1117;95.7643836462235;5.8;802;85;1029;87;1539;818;15.4;57.8;1
"252";12;6;1.1;1062;62.3258205627537;4;711;55;1136;66;1461;700;14.9;60.6;1
"253";12;7;0.7;947;27.0295595302023;2.1;594;24;1300;36;1390;580;14.5;63;1
"254";12;8;0.8;1065;54.8950287664271;3.6;687;72;1143;62;1492;815;14.2;66.2;1
"255";12;9;1.2;1155;69.7566123590804;4.4;734;122;1062;91;1528;1035;14.5;65.3;1
"256";12;10;1.4;1220;88.3335918498969;5.4;782;111;996;89;1560;1067;15.3;62.1;1
"257";12;11;1.7;1301;119.914456984285;7.1;862;123;914;93;1633;1114;16.3;59;1
"258";12;12;1.8;1279;123.629852882448;7.3;870;106;911;81;1646;1000;18.9;49.6;1
"259";12;13;1.8;1267;129.202946729693;7.6;883;103;953;82;1617;906;19.4;46.1;1
"260";12;14;1.9;1239;114.34136313704;6.8;848;102;981;80;1568;822;20.8;41.6;1
"261";12;15;1.3;1128;73.4720082572437;4.6;742;48;1144;48;1507;610;21.4;40.3;1
"262";12;16;1.6;1243;144.064530322347;8.4;916;63;962;61;1669;657;21.2;39.3;1
"263";12;17;1.9;1208;116.199061086122;6.9;853;98;1060;89;1506;647;20.3;38;1
"264";12;18;2.3;1306;155.210718016836;9;938;132;961;105;1607;762;19.4;41.3;1
"265";12;19;3.8;1546;268.530292910817;15.1;1151;173;769;116;1874;1122;18.5;43.8;1
"266";12;20;3.5;1501;222.087844183776;12.6;1071;185;823;119;1744;1130;17.8;48.1;1
"267";12;21;4.3;1605;268.530292910817;15.1;1153;266;769;144;1840;1637;17.9;46.9;1
"268";12;22;2.8;1316;171.929999558571;9.9;974;188;883;123;1673;1272;17.4;49.1;1
"269";12;23;1.9;1195;136.63373852602;8;898;122;933;105;1594;1098;17;51.7;1
"270";12;24;1.9;1211;134.776040576938;7.9;896;112;920;93;1624;1066;16.4;55.1;1
"271";13;1;1.7;1161;101.337477493468;6.1;815;93;995;86;1582;909;16.1;60;1
"272";13;2;1.5;1095;82.7604980026519;5.1;767;74;1050;76;1547;818;15.8;60.5;1
"273";13;3;0.6;897;19.5987677338757;1.7;563;23;1417;33;1355;472;16.3;57;1
"274";13;4;0.4;842;1.02178824305912;0.7;468;32.3637702923414;1813;47.628427111197;1274;394;16.9;53.9;1
"275";13;5;0.532271851719896;854;2.87948619214078;0.8;481;17;1756;27;1304;396;16.1;55.9;1
"276";13;6;0.3;845;1.02178824305912;0.7;472;15;1786;23;1278;378;16.5;53.9;1
"277";13;7;0.6;942;25.1718615811206;2;586;41;1480;46;1373;432;16.4;54;1
"278";13;8;1.2;1090;82.7604980026519;5.1;768;86;1072;76;1538;699;15.7;57.6;1
"279";13;9;3.6;1514;316.83043958694;17.7;1230;226;732;116;1996;1252;15.8;53.7;1
"280";13;10;3.7;1379;329.834325230512;18.4;1252;214;711;115;1962;1237;17.4;42.1;1
"281";13;11;1.8;1074;116.199061086122;6.9;854;115;1032;83;1484;772;17.9;38.4;1
"282";13;12;1.6;1090;123.629852882448;7.3;868;124;1026;87;1509;766;18.5;36.7;1
"283";13;13;1.9;1110;166.356905711326;9.6;964;122;947;90;1577;829;21;29.6;0
"284";13;14;2;1102;181.21848930398;10.4;994;107;955;87;1599;783;21.3;28.1;0
"285";13;15;2.2;1100;196.080072896633;11.2;1021;133;952;99;1607;822;21.3;26.1;0
"286";13;16;2.1;1094;186.791583151225;10.7;1003;130;965;99;1574;813;21.3;26.8;0
"287";13;17;2.3;1076;451;11.6;1034;150;964;101;1544;813;21.3;24.2;0
"288";13;18;2.6;1152;185;12.4;1062;138;928;103;1606;850;20.2;28.5;0
"289";13;19;3.8;1407;426;18.3;1249;213;720;129;1932;1276;17;43.1;1
"290";13;20;4.4;1438;672;21;1325;232;678;143;1993;1401;15.6;47.4;1
"291";13;21;4.5;1425;624;21;1325;238;678;146;1965;1356;15.3;47.4;1
"292";13;22;3.3;1279;325;14.5;1131;180;775;124;1758;1243;14.5;49.7;1
"293";13;23;2;1132;143;8.4;916;128;920;113;1561;1083;13.9;52;1
"294";13;24;1.1;1006;89;4.3;729;65;1142;80;1370;795;14.5;49.4;1
"295";14;1;0.9;982;73;3.8;700;53;1204;72;1359;735;13.8;51.4;1
"296";14;2;0.8;969;48;2.7;636;47;1271;64;1309;684;14;51.3;1
"297";14;3;0.7;941;47;2.5;621;51;1298;70;1330;714;13;56.8;1
